timestamps,TP9,AF7,AF8,TP10,Right AUX
1732204953.189,-51.758,-16.113,-16.602,-53.223,0.000
1732204953.193,-40.527,-11.230,-16.602,-64.453,0.000
1732204953.197,-13.672,-7.324,-9.277,-42.480,0.000
1732204953.201,-38.574,-11.230,-8.301,-20.020,0.000
1732204953.205,-57.617,-16.113,-12.207,-50.293,0.000
1732204953.209,-57.129,-20.508,-13.184,-65.918,0.000
1732204953.213,-80.078,-25.879,-12.207,-73.242,0.000
1732204953.217,-91.797,-19.043,-9.277,-70.801,0.000
1732204953.221,-78.125,-15.137,-9.766,-48.828,0.000
1732204953.224,-75.684,-19.531,-5.371,-82.520,0.000
1732204953.228,-89.844,-11.719,-4.395,-89.355,0.000
1732204953.232,-75.684,-9.766,-13.184,-52.734,0.000
1732204953.236,-80.566,-12.695,-19.043,-65.918,0.000
1732204953.240,-91.309,-10.254,-3.418,-68.848,0.000
1732204953.244,-77.637,-9.766,7.324,-96.191,0.000
1732204953.248,-81.055,-13.672,0.488,-139.648,0.000
1732204953.252,-91.797,-11.230,3.418,-143.555,0.000
1732204953.256,-102.051,-6.348,5.371,-140.137,0.000
1732204953.260,-108.398,-8.301,-3.906,-149.414,0.000
1732204953.264,-105.469,-5.859,-9.277,-131.348,0.000
1732204953.267,-97.656,-4.883,-9.766,-123.047,0.000
1732204953.271,-94.238,-6.348,-5.371,-113.281,0.000
1732204953.275,-89.844,-2.930,-1.465,-104.004,0.000
1732204953.279,-89.355,-7.324,-6.836,-102.539,0.000
1732204953.283,-67.383,-16.113,-8.301,-89.355,0.000
1732204953.287,-71.777,-13.184,-8.301,-88.379,0.000
1732204953.291,-85.449,-15.137,-8.789,-86.914,0.000
1732204953.295,-63.477,-18.555,-10.254,-77.148,0.000
1732204953.299,-64.453,-12.207,-12.207,-77.148,0.000
1732204953.303,-78.613,-11.230,-13.672,-75.684,0.000
1732204953.307,-72.754,-12.695,-9.277,-54.199,0.000
1732204953.310,-61.035,-11.719,-18.066,-57.129,0.000
1732204953.314,-52.734,-13.672,-26.367,-67.383,0.000
1732204953.318,-31.250,-17.578,-25.879,-78.125,0.000
1732204953.322,-23.438,-21.973,-25.879,-86.426,0.000
