timestamps,TP9,AF7,AF8,TP10,Right AUX
1733122772.991,-25.879,-26.855,-38.086,-11.230,0.000
1733122772.994,-35.156,-34.180,-39.551,-7.324,0.000
1733122772.998,-41.504,-54.199,-35.645,-9.766,0.000
1733122773.002,-36.621,-46.875,-37.598,-28.320,0.000
1733122773.006,-29.297,-38.086,-45.410,-34.180,0.000
1733122773.010,-39.551,-44.922,-50.781,-32.227,0.000
1733122773.014,-55.664,-46.875,-50.293,-37.109,0.000
1733122773.018,-49.316,-45.410,-48.828,-40.039,0.000
1733122773.022,-30.273,-42.480,-47.852,-33.203,0.000
1733122773.026,-18.555,-41.016,-51.270,-24.414,0.000
1733122773.030,-26.367,-41.504,-50.781,-26.855,0.000
1733122773.033,-47.363,-41.504,-51.270,-31.738,0.000
1733122773.037,-46.875,-42.480,-49.805,-32.715,0.000
1733122773.041,-26.367,-41.992,-44.922,-30.273,0.000
1733122773.045,-18.555,-41.016,-52.734,-34.668,0.000
1733122773.049,-23.926,-42.969,-54.199,-30.762,0.000
1733122773.053,-43.457,-50.781,-53.223,-22.949,0.000
1733122773.057,-48.340,-50.293,-55.664,-28.320,0.000
1733122773.061,-22.461,-36.133,-52.734,-26.367,0.000
1733122773.065,-12.695,-33.691,-46.387,-20.508,0.000
1733122773.069,-21.973,-34.180,-44.434,-17.090,0.000
1733122773.073,-37.109,-39.062,-41.504,-15.625,0.000
1733122773.077,-47.363,-43.945,-41.016,-20.996,0.000
1733122773.080,-38.086,-40.039,-44.434,-28.809,0.000
1733122773.084,-28.320,-35.156,-46.875,-23.926,0.000
1733122773.088,-32.227,-37.109,-44.922,-13.184,0.000
1733122773.092,-49.316,-37.598,-46.875,-20.020,0.000
1733122773.096,-59.082,-36.133,-47.852,-34.180,0.000
1733122773.100,-34.668,-34.668,-40.039,-34.668,0.000
1733122773.104,-18.066,-34.180,-42.969,-27.344,0.000
1733122773.108,-19.531,-31.250,-41.016,-18.066,0.000
1733122773.112,-33.203,-40.039,-41.016,-14.160,0.000
1733122773.116,-48.828,-46.875,-43.457,-21.973,0.000
1733122773.120,-37.109,-37.109,-40.527,-27.344,0.000
1733122773.123,-25.391,-35.156,-39.551,-27.832,0.000
1733122773.127,-29.297,-40.039,-38.574,-33.691,0.000
1733122773.131,-39.551,-45.410,-47.852,-33.203,0.000
1733122773.135,-52.246,-45.898,-47.852,-32.715,0.000
1733122773.139,-38.574,-33.691,-38.574,-42.969,0.000
1733122773.143,-10.254,-31.738,-41.016,-44.922,0.000
1733122773.147,0.000,-36.621,-46.875,-41.992,0.000
1733122773.151,0.000,-38.574,-47.852,-38.574,0.000
